experiment_parameter,experiment_value,run,population_size,generations,mutation_rate,tournament_size,elite_size,crossover_type,best_generation,total_cost,skill_mismatch_cost,overtime_cost,imbalance_cost,proficiency_cost,priority_cost,execution_time
configuration,combined,1,200,500,3,9,4,uniform,435,85.52,0,0,19.7,27.6,38.22,7.289
configuration,combined,2,200,500,3,9,4,uniform,448,88.76,0,0,21.6,25.4,41.76,7.176
configuration,combined,3,200,500,3,9,4,uniform,291,87.86,0,0,18.7,27.4,41.76,7.187
configuration,combined,4,200,500,3,9,4,uniform,288,84.24,0,0,19.7,30.1,34.44,7.147
configuration,combined,5,200,500,3,9,4,uniform,199,85.66,0,0,18.6,29.5,37.56,7.147
configuration,combined,6,200,500,3,9,4,uniform,362,82.94,0,0,18.7,28.0,36.24,7.137
configuration,combined,7,200,500,3,9,4,uniform,473,93.04,0,5,23.4,26.9,37.74,7.174
configuration,combined,8,200,500,3,9,4,uniform,411,84.22,0,0,17.8,27.6,38.82,7.153
configuration,combined,9,200,500,3,9,4,uniform,439,88.82,0,0,18.8,27.6,42.42,7.18
configuration,combined,10,200,500,3,9,4,uniform,124,91.62,0,0,19.7,27.7,44.22,7.137
configuration,combined,11,200,500,3,9,4,uniform,314,87.68,0,0,22.6,27.4,37.68,7.144
configuration,combined,12,200,500,3,9,4,uniform,282,83.18,0,0,15.6,28.1,39.48,7.172
configuration,combined,13,200,500,3,9,4,uniform,421,86.6,0,0,17.7,26.6,42.3,7.138
configuration,combined,14,200,500,3,9,4,uniform,384,87.06,0,0,17.7,28.8,40.56,7.147
configuration,combined,15,200,500,3,9,4,uniform,319,89.94,0,0,19.7,26.5,43.74,7.17
configuration,combined,16,200,500,3,9,4,uniform,251,97.34,0,5,23.4,27.0,41.94,7.18
configuration,combined,17,200,500,3,9,4,uniform,295,81.74,0,0,19.6,27.7,34.44,7.173
configuration,combined,18,200,500,3,9,4,uniform,179,79.3,0,0,17.6,26.6,35.1,7.146
configuration,combined,19,200,500,3,9,4,uniform,379,77.48,0,0,19.7,27.3,30.48,7.16
configuration,combined,20,200,500,3,9,4,uniform,471,82.82,0,0,17.9,26.1,38.82,7.148
configuration,combined,21,200,500,3,9,4,uniform,230,86.0,0,0,17.7,27.8,40.5,7.159
configuration,combined,22,200,500,3,9,4,uniform,475,84.36,0,0,19.6,28.4,36.36,7.175
configuration,combined,23,200,500,3,9,4,uniform,187,83.3,0,0,16.8,27.8,38.7,7.157
configuration,combined,24,200,500,3,9,4,uniform,487,81.84,0,0,17.8,26.6,37.44,7.192
configuration,combined,25,200,500,3,9,4,uniform,267,73.36,0,0,17.7,27.1,28.56,7.159
configuration,combined,26,200,500,3,9,4,uniform,275,91.46,0,0,21.7,26.8,42.96,7.155
configuration,combined,27,200,500,3,9,4,uniform,393,93.78,0,0,18.6,28.2,46.98,7.155
configuration,combined,28,200,500,3,9,4,uniform,423,91.84,0,0,17.8,29.4,44.64,7.169
configuration,combined,29,200,500,3,9,4,uniform,455,78.98,0,0,18.8,27.3,32.88,7.189
configuration,combined,30,200,500,3,9,4,uniform,263,85.4,0,0,19.8,26.9,38.7,7.151
