experiment_parameter,experiment_value,run,population_size,generations,mutation_rate,tournament_size,elite_size,crossover_type,best_generation,total_cost,skill_mismatch_cost,overtime_cost,imbalance_cost,proficiency_cost,priority_cost,execution_time
crossover_type,one_point,1,200,500,5,7,4,one_point,454,100.9,0,0,23.4,27.4,50.1,7.792
crossover_type,one_point,2,200,500,5,7,4,one_point,497,119.04,0,5,28.6,27.6,57.84,7.809
crossover_type,one_point,3,200,500,5,7,4,one_point,497,172.64,50,5,28.5,28.3,60.84,8.179
crossover_type,one_point,4,200,500,5,7,4,one_point,489,100.02,0,0,26.4,27.6,46.02,7.773
crossover_type,one_point,5,200,500,5,7,4,one_point,495,89.7,0,0,18.7,26.9,44.1,7.575
crossover_type,one_point,6,200,500,5,7,4,one_point,455,112.14,0,5,28.5,26.5,52.14,8.056
crossover_type,one_point,7,200,500,5,7,4,one_point,447,113.44,0,5,29.7,28.7,50.04,7.315
crossover_type,one_point,8,200,500,5,7,4,one_point,425,126.92,0,15,24.6,28.7,58.62,7.28
crossover_type,one_point,9,200,500,5,7,4,one_point,492,130.32,0,10,25.6,28.3,66.42,7.373
crossover_type,one_point,10,200,500,5,7,4,one_point,334,101.82,0,0,26.2,27.2,48.42,7.321
crossover_type,one_point,11,200,500,5,7,4,one_point,431,124.76,0,15,24.4,29.2,56.16,7.249
crossover_type,one_point,12,200,500,5,7,4,one_point,449,104.1,0,0,22.8,28.2,53.1,7.588
crossover_type,one_point,13,200,500,5,7,4,one_point,468,141.52,0,20,35.2,26.5,59.82,7.776
crossover_type,one_point,14,200,500,5,7,4,one_point,488,111.26,0,0,25.8,27.5,57.96,7.29
crossover_type,one_point,15,200,500,5,7,4,one_point,459,105.36,0,0,25.4,28.0,51.96,7.331
crossover_type,one_point,16,200,500,5,7,4,one_point,487,109.64,0,0,29.7,26.3,53.64,7.361
crossover_type,one_point,17,200,500,5,7,4,one_point,493,116.56,0,0,24.9,28.9,62.76,7.464
crossover_type,one_point,18,200,500,5,7,4,one_point,496,102.22,0,0,25.6,30.0,46.62,7.347
crossover_type,one_point,19,200,500,5,7,4,one_point,473,95.6,0,0,25.6,26.5,43.5,7.296
crossover_type,one_point,20,200,500,5,7,4,one_point,491,105.76,0,0,26.5,28.5,50.76,7.836
crossover_type,one_point,21,200,500,5,7,4,one_point,469,113.72,0,15,24.4,28.3,46.02,8.031
crossover_type,one_point,22,200,500,5,7,4,one_point,395,112.78,0,15,24.6,28.6,44.58,7.597
crossover_type,one_point,23,200,500,5,7,4,one_point,465,106.46,0,0,28.8,25.4,52.26,7.348
crossover_type,one_point,24,200,500,5,7,4,one_point,405,107.3,0,5,29.5,28.7,44.1,7.339
crossover_type,one_point,25,200,500,5,7,4,one_point,476,134.2,0,15,34.5,26.8,57.9,7.481
crossover_type,one_point,26,200,500,5,7,4,one_point,433,91.06,0,0,20.6,27.5,42.96,7.308
crossover_type,one_point,27,200,500,5,7,4,one_point,479,141.48,0,25,31.6,28.9,55.98,7.299
crossover_type,one_point,28,200,500,5,7,4,one_point,478,121.98,0,10,28.6,28.9,54.48,7.34
crossover_type,one_point,29,200,500,5,7,4,one_point,450,109.34,0,0,26.5,28.3,54.54,7.465
crossover_type,one_point,30,200,500,5,7,4,one_point,401,117.96,0,5,25.4,27.8,59.76,7.351
crossover_type,two_points,1,200,500,5,7,4,two_points,434,107.56,0,0,27.6,30.4,49.56,7.687
crossover_type,two_points,2,200,500,5,7,4,two_points,458,114.76,0,10,26.5,26.3,51.96,7.677
crossover_type,two_points,3,200,500,5,7,4,two_points,433,132.06,0,20,25.5,27.4,59.16,7.863
crossover_type,two_points,4,200,500,5,7,4,two_points,479,106.82,0,5,22.5,26.7,52.62,7.741
crossover_type,two_points,5,200,500,5,7,4,two_points,319,89.56,0,0,25.5,28.3,35.76,7.673
crossover_type,two_points,6,200,500,5,7,4,two_points,499,137.82,0,15,28.5,28.5,65.82,8.069
crossover_type,two_points,7,200,500,5,7,4,two_points,494,138.46,0,15,32.5,27.6,63.36,8.426
crossover_type,two_points,8,200,500,5,7,4,two_points,426,101.12,0,0,26.4,28.1,46.62,7.747
crossover_type,two_points,9,200,500,5,7,4,two_points,482,104.76,0,5,20.5,29.1,50.16,7.703
crossover_type,two_points,10,200,500,5,7,4,two_points,472,105.16,0,0,24.5,26.9,53.76,7.717
crossover_type,two_points,11,200,500,5,7,4,two_points,491,116.98,0,10,29.5,27.5,49.98,7.809
crossover_type,two_points,12,200,500,5,7,4,two_points,437,123.46,0,5,24.6,29.3,64.56,7.69
crossover_type,two_points,13,200,500,5,7,4,two_points,410,108.56,0,5,24.5,26.5,52.56,7.674
