experiment_parameter,experiment_value,run,population_size,generations,mutation_rate,tournament_size,elite_size,crossover_type,best_generation,total_cost,skill_mismatch_cost,overtime_cost,imbalance_cost,proficiency_cost,priority_cost,execution_time
mutation_rate,1,1,200,500,1,7,4,uniform,108,85.52,0,0,20.8,27.7,37.02,7.126
mutation_rate,1,2,200,500,1,7,4,uniform,139,87.66,0,0,18.8,26.5,42.36,7.06
mutation_rate,1,3,200,500,1,7,4,uniform,140,84.26,0,0,19.6,28.3,36.36,6.991
mutation_rate,1,4,200,500,1,7,4,uniform,182,80.68,0,0,18.9,27.7,34.08,7.099
mutation_rate,1,5,200,500,1,7,4,uniform,126,88.3,0,0,19.5,28.9,39.9,6.966
mutation_rate,1,6,200,500,1,7,4,uniform,196,81.36,0,0,19.8,28.2,33.36,7.021
mutation_rate,1,7,200,500,1,7,4,uniform,132,88.58,0,0,21.7,26.2,40.68,6.955
mutation_rate,1,8,200,500,1,7,4,uniform,172,87.04,0,0,19.8,28.3,38.94,6.952
mutation_rate,1,9,200,500,1,7,4,uniform,153,108.18,0,10,23.5,27.4,47.28,7.072
mutation_rate,1,10,200,500,1,7,4,uniform,217,81.84,0,0,15.7,26.9,39.24,6.928
mutation_rate,1,11,200,500,1,7,4,uniform,274,87.46,0,0,19.6,26.7,41.16,6.99
mutation_rate,1,12,200,500,1,7,4,uniform,179,95.6,0,0,23.6,28.5,43.5,6.953
mutation_rate,1,13,200,500,1,7,4,uniform,220,101.2,0,5,20.4,28.1,47.7,7.074
mutation_rate,1,14,200,500,1,7,4,uniform,192,91.36,0,0,19.6,27.0,44.76,7.01
mutation_rate,1,15,200,500,1,7,4,uniform,114,88.36,0,0,20.4,26.8,41.16,7.067
mutation_rate,1,16,200,500,1,7,4,uniform,136,90.16,0,0,21.6,29.2,39.36,7.071
mutation_rate,1,17,200,500,1,7,4,uniform,343,84.68,0,0,19.5,28.7,36.48,7.194
mutation_rate,1,18,200,500,1,7,4,uniform,80,88.4,0,0,16.6,28.3,43.5,7.057
mutation_rate,1,19,200,500,1,7,4,uniform,111,84.56,0,0,18.7,28.3,37.56,7.041
mutation_rate,1,20,200,500,1,7,4,uniform,151,87.94,0,0,19.7,26.9,41.34,7.0
mutation_rate,1,21,200,500,1,7,4,uniform,267,92.48,0,0,21.7,26.5,44.28,7.148
mutation_rate,1,22,200,500,1,7,4,uniform,171,84.24,0,0,22.5,27.6,34.14,6.975
