experiment_parameter,experiment_value,run,population_size,generations,mutation_rate,tournament_size,elite_size,crossover_type,best_generation,total_cost,skill_mismatch_cost,overtime_cost,imbalance_cost,proficiency_cost,priority_cost,execution_time
tournament_size,3,1,200,500,5,3,4,uniform,444,234.12,0,55,49.5,29.6,100.02,7.804
tournament_size,3,2,200,500,5,3,4,uniform,468,199.0,0,45,41.7,26.2,86.1,7.578
tournament_size,3,3,200,500,5,3,4,uniform,395,177.72,0,30,43.9,26.6,77.22,7.614
tournament_size,3,4,200,500,5,3,4,uniform,397,205.76,0,40,43.3,29.1,93.36,7.683
tournament_size,3,5,200,500,5,3,4,uniform,435,257.94,50,45,48.6,27.1,87.24,7.57
tournament_size,3,6,200,500,5,3,4,uniform,450,203.32,0,20,51.7,25.9,105.72,7.556
tournament_size,3,7,200,500,5,3,4,uniform,403,208.64,0,40,50.8,27.9,89.94,7.529
tournament_size,3,8,200,500,5,3,4,uniform,473,193.1,0,40,41.6,27.2,84.3,7.698
tournament_size,3,9,200,500,5,3,4,uniform,497,223.82,0,65,46.2,28.2,84.42,7.52
tournament_size,3,10,200,500,5,3,4,uniform,497,289.8,50,55,48.3,28.8,107.7,7.509
tournament_size,3,11,200,500,5,3,4,uniform,496,292.88,50,40,57.9,28.4,116.58,7.519
tournament_size,3,12,200,500,5,3,4,uniform,487,185.34,0,30,42.6,26.7,86.04,7.66
tournament_size,3,13,200,500,5,3,4,uniform,436,190.6,0,60,39.4,29.7,61.5,7.501
tournament_size,3,14,200,500,5,3,4,uniform,480,199.64,50,5,35.9,29.9,78.84,7.862
tournament_size,3,15,200,500,5,3,4,uniform,382,265.42,50,50,42.6,28.2,94.62,7.751
tournament_size,3,16,200,500,5,3,4,uniform,460,163.28,0,15,37.5,29.0,81.78,7.731
tournament_size,3,17,200,500,5,3,4,uniform,482,216.74,0,50,45.4,27.8,93.54,7.639
tournament_size,3,18,200,500,5,3,4,uniform,442,197.62,0,25,43.5,27.0,102.12,7.609
tournament_size,3,19,200,500,5,3,4,uniform,493,211.74,50,35,36.5,28.8,61.44,7.597
tournament_size,3,20,200,500,5,3,4,uniform,224,218.66,0,55,47.4,28.3,87.96,7.742
tournament_size,3,21,200,500,5,3,4,uniform,493,200.9,0,45,41.8,26.2,87.9,7.591
tournament_size,3,22,200,500,5,3,4,uniform,447,156.14,0,30,36.6,27.2,62.34,7.599
tournament_size,3,23,200,500,5,3,4,uniform,232,228.34,0,60,47.6,28.4,92.34,7.61
tournament_size,3,24,200,500,5,3,4,uniform,341,161.66,0,15,38.9,29.1,78.66,7.777
tournament_size,3,25,200,500,5,3,4,uniform,426,210.22,0,45,48.5,28.7,88.02,7.614
tournament_size,3,26,200,500,5,3,4,uniform,455,178.32,0,25,35.6,28.5,89.22,7.557
tournament_size,3,27,200,500,5,3,4,uniform,457,145.18,0,5,38.9,28.5,72.78,7.568
tournament_size,3,28,200,500,5,3,4,uniform,438,221.42,50,30,36.3,26.1,79.02,7.688
tournament_size,3,29,200,500,5,3,4,uniform,478,188.48,0,35,41.3,28.0,84.18,7.581
tournament_size,3,30,200,500,5,3,4,uniform,410,185.06,0,30,40.5,27.2,87.36,7.574
tournament_size,5,1,200,500,5,5,4,uniform,458,176.76,50,10,25.8,28.8,62.16,7.593
tournament_size,5,2,200,500,5,5,4,uniform,459,127.9,0,15,28.5,28.3,56.1,7.753
tournament_size,5,3,200,500,5,5,4,uniform,481,131.36,0,20,32.7,27.9,50.76,7.646
tournament_size,5,4,200,500,5,5,4,uniform,495,109.16,0,5,25.6,28.4,50.16,7.643
tournament_size,5,5,200,500,5,5,4,uniform,459,122.66,0,5,33.5,26.2,57.96,7.695
tournament_size,5,6,200,500,5,5,4,uniform,492,129.16,0,5,28.7,30.3,65.16,8.144
tournament_size,5,7,200,500,5,5,4,uniform,465,138.78,0,10,34.5,27.8,66.48,7.768
tournament_size,5,8,200,500,5,5,4,uniform,382,107.44,0,0,26.5,28.5,52.44,7.608
tournament_size,5,9,200,500,5,5,4,uniform,437,132.96,0,15,30.6,26.4,60.96,7.637
tournament_size,5,10,200,500,5,5,4,uniform,473,118.28,0,0,32.7,27.2,58.38,7.697
tournament_size,5,11,200,500,5,5,4,uniform,480,127.54,0,10,28.6,26.9,62.04,7.642
tournament_size,5,12,200,500,5,5,4,uniform,467,123.02,0,20,25.5,27.3,50.22,7.633
tournament_size,5,13,200,500,5,5,4,uniform,459,128.98,0,15,27.8,27.5,58.68,7.798
tournament_size,5,14,200,500,5,5,4,uniform,468,153.1,50,0,24.5,27.3,51.3,7.673
tournament_size,5,15,200,500,5,5,4,uniform,485,147.98,0,15,34.4,28.5,70.08,7.613
tournament_size,5,16,200,500,5,5,4,uniform,404,114.1,0,10,26.7,27.3,50.1,7.77
tournament_size,5,17,200,500,5,5,4,uniform,462,134.74,0,5,29.9,28.8,71.04,8.186
tournament_size,5,18,200,500,5,5,4,uniform,487,139.82,0,20,24.6,31.2,64.02,7.669
tournament_size,5,19,200,500,5,5,4,uniform,491,130.56,0,0,34.4,27.4,68.76,7.642
tournament_size,5,20,200,500,5,5,4,uniform,499,120.86,0,10,26.6,26.3,57.96,7.647
tournament_size,5,21,200,500,5,5,4,uniform,496,135.24,0,10,31.6,30.4,63.24,7.696
tournament_size,5,22,200,500,5,5,4,uniform,430,105.76,0,5,23.6,28.8,48.36,7.611
tournament_size,5,23,200,500,5,5,4,uniform,430,128.7,0,15,25.4,28.6,59.7,7.648
tournament_size,5,24,200,500,5,5,4,uniform,465,127.46,0,10,32.5,28.2,56.76,7.66
tournament_size,5,25,200,500,5,5,4,uniform,442,133.28,0,5,31.6,28.7,67.98,7.761
tournament_size,5,26,200,500,5,5,4,uniform,378,122.6,0,5,30.2,30.4,57.0,7.646
tournament_size,5,27,200,500,5,5,4,uniform,398,124.16,0,5,31.6,27.8,59.76,7.632
tournament_size,5,28,200,500,5,5,4,uniform,490,118.86,0,5,28.4,30.5,54.96,7.617
tournament_size,5,29,200,500,5,5,4,uniform,459,111.1,0,5,25.7,27.9,52.5,7.72
tournament_size,5,30,200,500,5,5,4,uniform,470,113.14,0,10,26.6,29.5,47.04,7.557
tournament_size,7,1,200,500,5,7,4,uniform,405,97.44,0,5,23.7,27.1,41.64,7.591
tournament_size,7,2,200,500,5,7,4,uniform,422,107.3,0,0,26.7,28.1,52.5,7.591
tournament_size,7,3,200,500,5,7,4,uniform,436,91.36,0,0,19.6,27.0,44.76,7.743
tournament_size,7,4,200,500,5,7,4,uniform,455,85.58,0,0,20.6,27.6,37.38,7.647
tournament_size,7,5,200,500,5,7,4,uniform,411,114.9,0,5,22.6,27.0,60.3,7.614
tournament_size,7,6,200,500,5,7,4,uniform,475,104.44,0,5,23.6,27.6,48.24,7.618
tournament_size,7,7,200,500,5,7,4,uniform,384,110.86,0,5,21.7,28.0,56.16,7.77
tournament_size,7,8,200,500,5,7,4,uniform,325,107.66,0,5,24.5,28.6,49.56,7.64
tournament_size,7,9,200,500,5,7,4,uniform,485,87.96,0,5,20.5,27.3,35.16,7.643
tournament_size,7,10,200,500,5,7,4,uniform,493,107.22,0,0,26.5,28.7,52.02,7.651
tournament_size,7,11,200,500,5,7,4,uniform,466,90.6,0,0,21.5,28.6,40.5,7.711
tournament_size,7,12,200,500,5,7,4,uniform,445,95.76,0,0,22.7,27.7,45.36,7.621
tournament_size,7,13,200,500,5,7,4,uniform,414,97.46,0,0,23.5,28.0,45.96,7.608
tournament_size,7,14,200,500,5,7,4,uniform,482,95.7,0,0,21.5,27.7,46.5,7.565
tournament_size,7,15,200,500,5,7,4,uniform,483,102.64,0,5,23.5,28.0,46.14,7.728
tournament_size,7,16,200,500,5,7,4,uniform,453,104.52,0,5,19.7,28.4,51.42,7.66
tournament_size,7,17,200,500,5,7,4,uniform,494,95.32,0,0,21.5,25.4,48.42,7.58
tournament_size,7,18,200,500,5,7,4,uniform,481,89.02,0,0,23.6,28.4,37.02,7.568
tournament_size,7,19,200,500,5,7,4,uniform,483,90.94,0,0,17.8,27.0,46.14,7.716
tournament_size,7,20,200,500,5,7,4,uniform,449,91.54,0,0,20.9,26.9,43.74,7.679
tournament_size,7,21,200,500,5,7,4,uniform,481,113.46,0,5,26.5,27.0,54.96,7.645
tournament_size,7,22,200,500,5,7,4,uniform,494,87.74,0,0,19.6,25.9,42.24,7.599
tournament_size,7,23,200,500,5,7,4,uniform,341,107.72,0,0,24.5,28.8,54.42,7.707
tournament_size,7,24,200,500,5,7,4,uniform,431,101.72,0,0,23.8,31.0,46.92,7.619
tournament_size,7,25,200,500,5,7,4,uniform,398,98.12,0,0,24.6,28.7,44.82,7.594
tournament_size,7,26,200,500,5,7,4,uniform,421,110.96,0,0,25.8,30.2,54.96,7.62
tournament_size,7,27,200,500,5,7,4,uniform,345,113.5,0,5,24.7,28.3,55.5,7.779
tournament_size,7,28,200,500,5,7,4,uniform,492,104.6,0,5,25.5,28.2,45.9,8.324
tournament_size,7,29,200,500,5,7,4,uniform,493,102.56,0,5,21.8,29.2,46.56,7.705
tournament_size,7,30,200,500,5,7,4,uniform,462,97.68,0,5,20.5,28.5,43.68,7.685
tournament_size,9,1,200,500,5,9,4,uniform,458,101.36,0,5,19.7,26.5,50.16,7.525
tournament_size,9,2,200,500,5,9,4,uniform,485,92.66,0,0,17.6,28.5,46.56,7.598
tournament_size,9,3,200,500,5,9,4,uniform,360,106.72,0,5,22.6,27.1,52.02,7.91
tournament_size,9,4,200,500,5,9,4,uniform,301,104.32,0,0,23.5,27.6,53.22,8.321
tournament_size,9,5,200,500,5,9,4,uniform,468,95.26,0,0,18.8,28.7,47.76,8.398
tournament_size,9,6,200,500,5,9,4,uniform,476,86.02,0,0,21.7,27.6,36.72,7.836
tournament_size,9,7,200,500,5,9,4,uniform,496,100.34,0,0,19.8,28.7,51.84,7.634
tournament_size,9,8,200,500,5,9,4,uniform,454,100.88,0,0,21.7,30.4,48.78,7.812
tournament_size,9,9,200,500,5,9,4,uniform,496,111.12,0,5,26.4,27.1,52.62,8.582
tournament_size,9,10,200,500,5,9,4,uniform,376,88.9,0,0,19.7,28.7,40.5,8.426
tournament_size,9,11,200,500,5,9,4,uniform,348,90.74,0,0,20.6,27.3,42.84,8.454
tournament_size,9,12,200,500,5,9,4,uniform,411,92.86,0,0,22.6,27.9,42.36,7.783
tournament_size,9,13,200,500,5,9,4,uniform,499,93.74,0,0,21.5,30.0,42.24,7.663
tournament_size,9,14,200,500,5,9,4,uniform,465,107.58,0,5,23.6,28.1,50.88,7.688
tournament_size,9,15,200,500,5,9,4,uniform,351,87.36,0,0,18.7,28.7,39.96,7.865
tournament_size,9,16,200,500,5,9,4,uniform,453,99.66,0,0,23.7,27.6,48.36,7.634
tournament_size,9,17,200,500,5,9,4,uniform,466,98.6,0,10,22.6,26.1,39.9,7.621
tournament_size,9,18,200,500,5,9,4,uniform,398,98.68,0,5,18.7,27.7,47.28,7.627
tournament_size,9,19,200,500,5,9,4,uniform,488,94.16,0,0,21.5,28.5,44.16,7.786
tournament_size,9,20,200,500,5,9,4,uniform,404,103.96,0,10,23.6,26.8,43.56,7.681
tournament_size,9,21,200,500,5,9,4,uniform,349,104.22,0,0,25.5,27.3,51.42,7.704
tournament_size,9,22,200,500,5,9,4,uniform,407,89.58,0,0,22.6,26.3,40.68,7.704
tournament_size,9,23,200,500,5,9,4,uniform,437,98.84,0,0,22.6,27.4,48.84,7.802
tournament_size,9,24,200,500,5,9,4,uniform,374,94.36,0,0,19.6,27.0,47.76,7.658
tournament_size,9,25,200,500,5,9,4,uniform,469,88.16,0,0,20.5,28.3,39.36,7.745
tournament_size,9,26,200,500,5,9,4,uniform,442,106.0,0,0,22.5,27.4,56.1,7.637
tournament_size,9,27,200,500,5,9,4,uniform,494,105.7,0,0,21.6,28.0,56.1,7.743
tournament_size,9,28,200,500,5,9,4,uniform,408,99.1,0,0,20.5,28.5,50.1,7.676
tournament_size,9,29,200,500,5,9,4,uniform,486,92.08,0,5,23.5,28.0,35.58,7.702
tournament_size,9,30,200,500,5,9,4,uniform,420,83.06,0,0,19.6,27.1,36.36,7.66
